Name,Link
"Aachen, Hans von",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=5566
"Abakanowicz, Magdalena",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10278
"Abate, Niccolò dell'",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474
"Abbate, Niccolò dell'",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=3474
"Abbati, Pietro Giovanni",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=21155
"Abbatini, Guido Ubaldo",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=19745
"Abbe, Elfriede Martha",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2855
"Abbé, Salomon van",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2856
"Abbe, William Parker",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33127
"Abbey, Edwin Austin",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2337
"Abbiati, Giuseppe",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=14725
"Abbott, Berenice",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=13553
"Abbott, John White",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=10979
"Abbott, Lemuel Francis",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=22
"Abe, Nobuya",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2857
"Abel, Mike",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210
"Abel, Myer",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34210
"Abelman, Ida York",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33106
"Abels, Jacobus Theodorus",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2338
Abel-Truchet,https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=17830
"Aberdeen, Harry G.",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7194
"Abondio, Antonio",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2006
"Abraham, Tancrède",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2858
"Abrahami, Elie",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=12430
"Abramovitz, Albert",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=33107
"Abramowitz, Ben",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328
"Abramowitz, Benjamin",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=34328
"Abrams, Ross",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=2859
"Abrams, Ruth",https://web.archive.org/web/20121007173107/http://www.nga.gov/cgi-bin/tsearch?artistid=7195
"Abrams, William Ross",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2859
"Abranos, Nino",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2860
"Abreu, Angel",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=22928
"Abts, Tomma",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=35991
"Abularach, Rodolfo",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2861
"Acampora, Nicholas",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=7196
"Acconci, Vito",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=6509
"Achen, Johann von",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=5566
"Achenbach, Hans",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2862
"Achepohl, Keith Anden",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=2863
"Achimescu, Bogdan",https://web.archive.org/web/20121010213157/http://www.nga.gov/cgi-bin/tsearch?artistid=23963
